Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Actividad_ID,Actividad_Titulo,Criterios_Vinculados,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W1_SDA7_DEE,El sistema solar,,2026-05-21,2,El Sol nuestra estrella,Explicar qué es el Sol de forma sencilla: da luz y calor. Experimento sencillo con linternas para ver cómo ilumina objetos en distintas posiciones.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W1_SDA7_DEE,El sistema solar,,2026-05-22,3,La Tierra y la Luna,Observar imágenes de la Tierra y la Luna. Hablar de las diferencias: color tamaño superficie. Modelar con plastilina la Tierra y la Luna.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W2_SDA7_DEE,Los planetas,,2026-05-25,1,Los planetas del sistema solar,Presentar los ocho planetas con imágenes y curiosidades. Cantar una canción para memorizarlos. Cada niño elige su planeta favorito y explica por qué.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W2_SDA7_DEE,Los planetas,,2026-05-26,2,Planetas grandes y pequeños,Comparar los tamaños de los planetas usando pelotas o globos de distintos tamaños. Ordenarlos de mayor a menor en el suelo del aula.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W2_SDA7_DEE,Los planetas,,2026-05-27,3,¿Qué hay en los planetas?,Explorar si podría haber vida en otros planetas: temperatura agua atmósfera. Dibujar cómo sería un planeta imaginario con vida.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W2_SDA7_DEE,Los planetas,,2026-05-28,4,Construimos nuestro sistema solar,En grupos crear un sistema solar con materiales reciclados (bolas de porexpan cartón pinturas). Colocar los planetas en el orden correcto.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W2_SDA7_DEE,Los planetas,,2026-05-29,5,Exponemos nuestro sistema solar,Cada grupo presenta su sistema solar al resto de la clase. Explicar qué planeta es cada uno y alguna curiosidad sobre él.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W3_SDA7_DEE,Las estrellas,,2026-06-01,1,¿Qué son las estrellas?,Explicar qué son las estrellas de forma sencilla. Observar imágenes del cielo nocturno. Reflexionar sobre por qué no las vemos de día.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W3_SDA7_DEE,Las estrellas,,2026-06-02,2,Las constelaciones,Mostrar constelaciones famosas (Osa Mayor Orión). Conectar puntos para dibujar constelaciones. Inventar constelaciones propias.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W3_SDA7_DEE,Las estrellas,,2026-06-03,3,Dibujamos constelaciones,Sobre papel negro con pintura blanca o plateada dibujar el cielo nocturno con estrellas y constelaciones. Poner nombre a la constelación inventada.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W3_SDA7_DEE,Las estrellas,,2026-06-04,4,El cielo de día y de noche,Comparar el cielo diurno y nocturno. ¿Qué vemos de día? ¿Qué vemos de noche? Crear un libro de dos páginas: cielo de día / cielo de noche.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W3_SDA7_DEE,Las estrellas,,2026-06-05,5,Observamos el cielo,Salir al patio a observar el cielo. Identificar el Sol las nubes y reflexionar sobre lo que veríamos de noche. Registrar las observaciones con dibujos.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W4_SDA7_DEE,Somos astronautas,,2026-06-08,1,¿Qué es un astronauta?,Vídeo o imágenes de astronautas en el espacio. Hablar sobre qué hacen cómo viven y qué estudian. Cada niño dice qué haría si fuera astronauta.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W4_SDA7_DEE,Somos astronautas,,2026-06-09,2,La nave espacial,Construir una nave espacial con cajas de cartón y materiales reciclados. Identificar sus partes: cabina ventanas motores.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W4_SDA7_DEE,Somos astronautas,,2026-06-10,3,Nos preparamos para el despegue,Simulación de cuenta atrás y despegue. Los niños se meten en la nave y simulan el viaje. Describir qué entornos espaciales van viendo por la ventana.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W4_SDA7_DEE,Somos astronautas,,2026-06-11,4,Viajamos por el espacio,Juego de rol: los niños son astronautas en el espacio. Visitan un planeta explorar su superficie y toman muestras. Registro de observaciones con dibujos.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W4_SDA7_DEE,Somos astronautas,,2026-06-12,5,Volvemos a la Tierra,Simular el regreso a la Tierra. Cada astronauta cuenta qué ha descubierto en su viaje. Puesta en común y exposición de los dibujos del viaje.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W5_SDA7_DEE,El universo en casa,,2026-06-15,1,Todo lo que hemos aprendido,Asamblea de cierre: ¿qué sabemos ahora del universo que no sabíamos antes? Repasar el mural inicial y añadir los nuevos aprendizajes.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W5_SDA7_DEE,El universo en casa,,2026-06-16,2,Creamos nuestro libro del universo,Cada niño crea una página para el libro colectivo del universo: dibuja y dicta una frase sobre lo que más le ha gustado aprender.
Infantil,Descubrimiento y Exploración del Entorno,T3,SDA7_DEE,El universo,,,,,W5_SDA7_DEE,El universo en casa,,2026-06-17,3,Compartimos con las familias,Presentar el libro del universo y los proyectos a las familias. Cada niño explica su página y enseña lo que ha aprendido durante el trimestre.
